wastewater_treatment_plant.name,collection_date,target,dilution,assay,gc_per_lww,TotalDroplets,flow,ara_id,population
ARA Altenrhein,2021-08-12T00:00:00Z,SARS-N1,3,n1mhv,65677.00533413305,19174,21023,323700,64000
ARA Sensetal,2021-08-12T00:00:00Z,SARS-N1,3,n1mhv,1335.691871498412,25457,34953,66700,62000
ARA Sensetal,2021-08-12T00:00:00Z,SARS-N1,3,n1mhv,1327.608305905311,25612,34953,66700,62000
ARA Chur,2021-08-11T00:00:00Z,SARS-N1,3,n1mhv,46303.58493460343,25719,12950,390101,55000
ARA Chur,2021-08-11T00:00:00Z,SARS-N1,3,n1mhv,32994.39399776449,25776,12950,390101,55000
ARA Altenrhein,2021-08-11T00:00:00Z,SARS-N1,3,n1mhv,70771.9306658493,26452,22399,323700,64000
ARA Altenrhein,2021-08-11T00:00:00Z,SARS-N1,3,n1mhv,86889.89051322338,26644,22399,323700,64000
ARA Sensetal,2021-08-11T00:00:00Z,SARS-N1,3,n1mhv,2707.0610358146632,25122,31951,66700,62000
ARA Sensetal,2021-08-11T00:00:00Z,SARS-N1,3,n1mhv,2634.489609066261,25814,31951,66700,62000
CDA Lugano,2021-08-15T00:00:00Z,SARS-N1,3,n1mhv,11651.40642677893,26269,50251,515100,124000
CDA Lugano,2021-08-15T00:00:00Z,SARS-N1,3,n1mhv,10430.87365260037,26082,50251,515100,124000
ARA Werdhoelzli,2021-08-15T00:00:00Z,SARS-N1,3,n1mhv,70943.17949360349,26868,179896,26101,471000
ARA Werdhoelzli,2021-08-15T00:00:00Z,SARS-N1,3,n1mhv,52560.33037174878,26544,179896,26101,471000
STEP Aire,2021-08-15T00:00:00Z,SARS-N1,3,n1mhv,103951.6751561702,25880,125416,664301,454000
STEP Aire,2021-08-15T00:00:00Z,SARS-N1,3,n1mhv,109520.2192640956,25810,125416,664301,454000
ARA Werdhoelzli,2021-08-14T00:00:00Z,SARS-N1,3,n1mhv,81078.70799132684,26032,176577,26101,471000
ARA Werdhoelzli,2021-08-14T00:00:00Z,SARS-N1,3,n1mhv,79919.91273537408,26409,176577,26101,471000
STEP Aire,2021-08-14T00:00:00Z,SARS-N1,3,n1mhv,99335.69562191039,25024,125436,664301,454000
STEP Aire,2021-08-14T00:00:00Z,SARS-N1,3,n1mhv,105269.558147845,25880,125436,664301,454000
ARA Werdhoelzli,2021-08-13T00:00:00Z,SARS-N1,3,n1mhv,63129.94216209966,25877,188355,26101,471000
ARA Werdhoelzli,2021-08-13T00:00:00Z,SARS-N1,3,n1mhv,87319.7627945725,26513,188355,26101,471000
STEP Aire,2021-08-13T00:00:00Z,SARS-N1,3,n1mhv,85779.54405146507,25004,134234,664301,454000
STEP Aire,2021-08-13T00:00:00Z,SARS-N1,3,n1mhv,86790.26439673509,25890,134234,664301,454000
ARA Werdhoelzli,2021-08-12T00:00:00Z,SARS-N1,3,n1mhv,47338.29538721015,25876,196262,26101,471000
ARA Werdhoelzli,2021-08-12T00:00:00Z,SARS-N1,3,n1mhv,45406.69286729029,26976,196262,26101,471000
STEP Aire,2021-08-12T00:00:00Z,SARS-N1,3,n1mhv,93775.96503451026,24690,159750,664301,454000
STEP Aire,2021-08-12T00:00:00Z,SARS-N1,3,n1mhv,77897.03320489034,25346,159750,664301,454000
ARA Werdhoelzli,2021-08-11T00:00:00Z,SARS-N1,3,n1mhv,43780.562140436894,26423,205276,26101,471000
ARA Werdhoelzli,2021-08-11T00:00:00Z,SARS-N1,3,n1mhv,56799.731610133276,27560,205276,26101,471000
STEP Aire,2021-08-11T00:00:00Z,SARS-N1,3,n1mhv,70739.86060706209,23577,145693,664301,454000
STEP Aire,2021-08-11T00:00:00Z,SARS-N1,3,n1mhv,103290.3490963309,24397,145693,664301,454000
ARA Sensetal,2021-08-10T00:00:00Z,SARS-N1,3,n1mhv,3883.654241422746,26267,34539,66700,62000
ARA Sensetal,2021-08-10T00:00:00Z,SARS-N1,3,n1mhv,12471.45652704882,24542,34539,66700,62000
STEP Aire,2021-08-10T00:00:00Z,SARS-N1,3,n1mhv,76512.56559928476,26249,154506,664301,454000
STEP Aire,2021-08-10T00:00:00Z,SARS-N1,3,n1mhv,76409.11108142539,24948,154506,664301,454000
CDA Lugano,2021-08-10T00:00:00Z,SARS-N1,3,n1mhv,13488.18984213354,20171,60291,515100,124000
CDA Lugano,2021-08-10T00:00:00Z,SARS-N1,3,n1mhv,11816.977745323751,25901,60291,515100,124000
ARA Chur,2021-08-10T00:00:00Z,SARS-N1,3,n1mhv,17073.583146795587,25896,14417,390101,55000
ARA Chur,2021-08-10T00:00:00Z,SARS-N1,3,n1mhv,27660.53504614024,25825,14417,390101,55000
ARA Werdhoelzli,2021-08-10T00:00:00Z,SARS-N1,3,n1mhv,71360.86429296198,24326,217690,26101,471000
ARA Werdhoelzli,2021-08-10T00:00:00Z,SARS-N1,3,n1mhv,62349.676422607015,24563,217690,26101,471000
ARA Altenrhein,2021-08-10T00:00:00Z,SARS-N1,3,n1mhv,76415.03243723804,25837,24638,323700,64000
ARA Altenrhein,2021-08-10T00:00:00Z,SARS-N1,3,n1mhv,83421.73425872844,26526,24638,323700,64000
ARA Sensetal,2021-08-09T00:00:00Z,SARS-N1,3,n1mhv,7748.281109657514,26333,38531,66700,62000
ARA Sensetal,2021-08-09T00:00:00Z,SARS-N1,3,n1mhv,9366.400344801139,25415,38531,66700,62000
ARA Chur,2021-08-09T00:00:00Z,SARS-N1,3,n1mhv,29569.78815022191,26459,16470,390101,55000
ARA Chur,2021-08-09T00:00:00Z,SARS-N1,3,n1mhv,30582.75719209647,25583,16470,390101,55000
CDA Lugano,2021-08-09T00:00:00Z,SARS-N1,3,n1mhv,20954.85190652009,24347,67274,515100,124000
CDA Lugano,2021-08-09T00:00:00Z,SARS-N1,3,n1mhv,13285.160801348891,25599,67274,515100,124000
ARA Altenrhein,2021-08-09T00:00:00Z,SARS-N1,3,n1mhv,119808.1550268689,26156,27951,323700,64000
ARA Altenrhein,2021-08-09T00:00:00Z,SARS-N1,3,n1mhv,109912.6355859671,25718,27951,323700,64000
ARA Werdhoelzli,2021-08-09T00:00:00Z,SARS-N1,3,n1mhv,42580.677515095624,24770,268791,26101,471000
ARA Werdhoelzli,2021-08-09T00:00:00Z,SARS-N1,3,n1mhv,24481.066728128142,23620,268791,26101,471000
STEP Aire,2021-08-09T00:00:00Z,SARS-N1,3,n1mhv,94254.7564746998,24926,161076,664301,454000
STEP Aire,2021-08-09T00:00:00Z,SARS-N1,3,n1mhv,88876.67032837943,25283,161076,664301,454000
